study,individual,item_name,Ntot,N1,ND,N0,score,propscore,theta,se.theta,outfit,infit
vehicle_pairs,5,Baby Stroller,161,38,0,123,38.158385093167695,0.23700860306315338,-2.2928368571937945,0.24684009631430515,0.4988971963408295,0.8862067361660978
vehicle_pairs,6,Bicycle,151,77,0,74,76.99403973509934,0.5098943028814525,0.048186727734616325,0.25387273054461607,0.5825280487877751,0.6364886363530102
vehicle_pairs,7,Bus,160,140,0,20,139.775,0.8735937500000001,3.6340912350196257,0.31161791214885076,0.24906129908836508,0.7207165103018668
vehicle_pairs,8,Canoe,152,60,0,92,60.06315789473684,0.3951523545706371,-1.0702550073639168,0.24573588971959004,2.754365144665358,1.0976281421248828
vehicle_pairs,9,Car,164,158,0,6,157.72195121951222,0.9617192147531233,5.15104652131737,0.4349582967711957,1.662864507371519,1.0301698085768127
vehicle_pairs,10,Carriage,166,91,0,75,90.9710843373494,0.5480185803454782,0.3008860007136045,0.24897379371577513,0.6630026358345591,0.9235570205884579
vehicle_pairs,11,Crutches,160,29,0,131,29.191250000000004,0.1824453125,-2.8653219569708983,0.2613650242716456,2.5268025356896606,1.0707220802180415
vehicle_pairs,12,Drone,158,30,0,128,30.18607594936709,0.19105111360358917,-2.8203488636524527,0.2632259693790456,1.0845249681520583,1.0921982117055224
vehicle_pairs,13,Golf Cart,163,101,0,62,100.92822085889571,0.6191915390116302,0.8991000687201525,0.2555625576509862,0.5911117605819032,0.7903089087749238
vehicle_pairs,14,Helicopter,163,105,0,58,104.91349693251533,0.6436410854755542,1.181159747199871,0.26300197198557623,0.5749330863095202,0.8011026020851517
vehicle_pairs,15,Vehicle,158,142,0,16,141.7607594936709,0.8972199967953853,3.913171171174678,0.3341861055765642,4.031077467752188,1.2203005964823657
vehicle_pairs,16,Liferaft,164,51,0,113,51.11341463414634,0.3116671624033313,-1.7585294229554345,0.23151280751140063,0.6420253101845107,0.9764778564893977
vehicle_pairs,17,Moped,162,113,0,49,112.88148148148149,0.6967992684042067,1.5424623159090551,0.2749831260569576,0.9632770614841016,0.641322003542011
vehicle_pairs,18,Pogo Stick,155,23,0,132,23.210967741935487,0.14974817898022896,-3.1289885145102136,0.27764178123191513,1.5167856221612959,0.9400129454905316
vehicle_pairs,19,Rollerskate,155,41,0,114,41.141290322580645,0.26542767950052026,-2.0797456767788103,0.2506417142708148,0.6807467287980976,0.6720298043478105
vehicle_pairs,20,Skateboard,156,57,0,99,57.080769230769235,0.36590236686390537,-1.3595436267334366,0.23890419374769653,1.236273778402112,0.6770008167398253
vehicle_pairs,21,Toy Car,160,50,0,110,50.1125,0.31320312499999997,-1.8074920414545919,0.2403607461194777,3.097866264930185,1.1909535381315652
vehicle_pairs,22,Truck,157,137,0,20,136.77643312101912,0.8711874721084021,3.5681870496577153,0.3187810521857176,1.1623736299746,0.8836393752203152
vehicle_pairs,23,Wheelchair,164,78,0,86,78.01463414634146,0.47569898869720406,-0.3014572696521876,0.2424881870847854,2.7417494039711428,0.9704823158563023
vehicle_pairs,24,WWII Truck,163,67,0,96,67.05337423312884,0.4113703940682751,-0.8676505536996804,0.2363893214968631,1.2723774893802806,1.2978136867292926
vehicle_pairs,25,Zip-line,160,13,0,147,13.251250000000002,0.08282031250000002,-4.062550840144425,0.32544691954420285,0.5120239987694682,0.9913306098529444
violation_pairs,1,Airplane,123,95,0,28,94.83658536585365,0.7710291493158833,2.0002821228675205,0.2875034330406047,3.8244814675294605,1.699507649634638
violation_pairs,2,Ambulance,137,63,0,74,63.02408759124088,0.4600298364324152,-0.437106023029059,0.23019980090553718,2.074066722263354,1.3081450301128272
violation_pairs,3,Automobile,130,107,0,23,106.80615384615385,0.821585798816568,2.6272563603508274,0.2897540359082464,0.5770620444397344,0.8466634074589648
violation_pairs,4,Baby Shoulder-Carrier,137,9,0,128,9.26058394160584,0.0675955032234003,-3.6746882958271896,0.3696624197009086,1.2615912634978828,1.2143171834038158
violation_pairs,5,Baby Stroller,132,20,0,112,20.20909090909091,0.15309917355371902,-2.6534620765111496,0.28919777713239403,4.742606781952527,0.7710478818448872
violation_pairs,6,Bicycle,136,71,0,65,70.98676470588235,0.5219615051903114,0.060751157631812415,0.23842704984288993,0.9870783411436834,0.8974944920181513
violation_pairs,7,Bus,134,118,0,16,117.77164179104477,0.8788928491869012,3.0396107637830445,0.31629930505043885,0.4272631512753735,1.0020086328505262
violation_pairs,8,Canoe,132,48,0,84,48.081818181818186,0.3642561983471075,-1.0765409704782312,0.2395832363309636,0.49401170496195157,0.7643696820890531
violation_pairs,9,Car,137,117,0,20,116.78759124087591,0.85246416964143,2.8286928996701395,0.29518703164540927,0.9790035756504049,1.0462292534643256
violation_pairs,10,Carriage,127,79,0,48,78.92677165354331,0.621470642941286,0.8075757376765453,0.2556845821597785,0.7804348721176488,0.7759469016965024
violation_pairs,11,Crutches,131,11,0,120,11.249618320610688,0.08587494901229532,-3.428525412888669,0.3484491373008539,2.058991931687091,0.8293101566331803
violation_pairs,12,Drone,133,52,0,81,52.06541353383459,0.3914692746904856,-0.8520753549739781,0.23348311454938644,0.764310157826138,0.8441133690558912
violation_pairs,13,Golf Cart,131,81,0,50,80.92900763358779,0.617778684225861,0.7121083283584023,0.2536476875457714,0.6433991492091282,0.750521468322953
violation_pairs,14,Helicopter,129,98,0,31,97.84418604651164,0.7584820623760592,1.8644625111108544,0.27653702446551465,0.5721814880387683,0.8008460503977631
violation_pairs,15,Vehicle,130,114,0,16,113.77384615384615,0.8751834319526627,3.062005327130637,0.31644757266215984,0.3660565174215195,0.8627774583084544
violation_pairs,16,Liferaft,129,48,0,81,48.07674418604651,0.37268793942671713,-0.9237737304858084,0.23759130200719125,0.7997493792532583,1.0166885637067133
violation_pairs,17,Moped,134,95,0,39,94.87462686567164,0.7080196034751616,1.4314057868097934,0.26121907588014576,0.7816212886346138,0.8417544813281657
violation_pairs,18,Pogo Stick,129,37,0,92,37.127906976744185,0.2878132323778619,-1.5864112209238825,0.24675802472671393,1.3081207024004227,1.0497158773293616
violation_pairs,19,Rollerskate,134,41,0,93,41.116417910447765,0.3068389396302072,-1.4680077104298643,0.2398762219261917,0.8405793085184858,0.9106280500218411
violation_pairs,20,Skateboard,129,58,0,71,58.03023255813954,0.4498467640165856,-0.4297037110417937,0.2380272384636759,0.7505551406748449,0.9195654494437652
violation_pairs,21,Toy Car,133,23,0,110,23.196240601503764,0.17440782407145686,-2.460263155738534,0.2759819106481715,0.8256692117573049,1.0886975749302876
violation_pairs,22,Truck,127,118,0,9,117.74251968503937,0.9271064542129084,3.7046467390711784,0.37702479508474734,5.254255906866959,0.9903203007364931
violation_pairs,23,Wheelchair,134,40,0,94,40.120895522388054,0.2994096680775228,-1.4735423540050565,0.2400216887959262,0.6035504742927067,0.9185300689614104
violation_pairs,24,WWII Truck,130,49,0,81,49.073846153846155,0.377491124260355,-0.9634981909035101,0.23661189928765416,1.4928661445567368,1.1952564745347836
violation_pairs,25,Zip-line,132,53,0,79,53.05909090909091,0.4019628099173554,-0.7111995272240286,0.23477302292880883,0.791420769770733,0.9183646234771745
